History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Critical,Communications Alarm,3G_TKY016M_QNM(125),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The SCTP association is broken(198092230),1. The SCTP association parameters of the local end and the opposite end are not configured correctly. 2. The transmission link is faulty.,2023-07-04 03:45:16,"",ME(MO SDR),"U RNCId: 3353; Association ID: 1; Association type is ETH, Related port is ETH0; Board serial number: 249366600827; U nodeBId:125",Unacknowledged,"","","","","","","",UMTS,41,1662661135599,10.248.190.38,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:26:28,2023-07-04 04:11:44,"","","",Restoration upon Anti-shake,125,3G_TKY016M_QNM,SDR,125,3G_TKY016M_QNM,CC,"product:public,wcdma",uid=125#uuserlabel=#ufid=125,The SCTP association is broken,""
Major,Equipment Alarm,3G_STH029M_QNI(400),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:46:18,"",ME(MO SDR),U RNCId: 3003; Control voltage abnormal; Board serial number: 254437701180; U nodeBId:400,Unacknowledged,"","","","","","","",UMTS,29072,1662661135601,10.248.196.232,"","MO_OMCB_RNC_3003Z_QNI,Subnet(MO SDR)(3003)",MO_OMCB_RNC_3003Z_QNI,Platform Alarm,"",00:22:00,2023-07-04 04:08:18,"","","",Restoration upon Anti-shake,400,3G_STH029M_QNI,SDR,400,3G_STH029M_QNI,CC,"product:public,wcdma",uid=400#uuserlabel=#ufid=400#,Lost of synchronization,""
Major,Equipment Alarm,3G_VLH035M_QTI(209),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:47:02,"",ME(MO SDR),U RNCId: 3354; Control voltage abnormal; Board serial number: 249894500078; U nodeBId:209,Unacknowledged,"","","","","","","",UMTS,30821,1662661135602,10.248.179.195,"","MO_OMCB_RNC_3354Z_QTI,Subnet(MO SDR)(3354)",MO_OMCB_RNC_3354Z_QTI,Platform Alarm,"",00:22:00,2023-07-04 04:09:02,"","","",Restoration upon Anti-shake,209,3G_VLH035M_QTI,SDR,209,3G_VLH035M_QTI,CC,"product:public,wcdma",uid=209#uuserlabel=#ufid=209,Lost of synchronization,""
Major,Equipment Alarm,3G_TSN037M_BDH(477),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:47:27,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254314600095; U nodeBId:477,Unacknowledged,"","","","","","","",UMTS,37580,1662661135604,10.248.200.104,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:22:04,2023-07-04 04:09:31,"","","",Restoration upon Anti-shake,477,3G_TSN037M_BDH,SDR,477,3G_TSN037M_BDH,CC,"product:public,wcdma",uid=477#uuserlabel=#ufid=477,Lost of synchronization,""
Major,Equipment Alarm,GU_TKY040M_QNM(294),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:48:35,"",ME(MO SDR),"G BSCId: 353; U RNCId: 3353; Control voltage abnormal; Board serial number: 254399200439; U nodeBId:294,G siteId:133",Unacknowledged,"","","","","","","","UMTS,GSM",1833,1662661135609,10.248.190.10,"","OMCB_RNC_3353Z_QNM,Subnet(MO SDR)(3353)",OMCB_RNC_3353Z_QNM,Platform Alarm,"",00:22:06,2023-07-04 04:10:41,"","","",Restoration upon Anti-shake,294,GU_TKY040M_QNM,SDR,294,GU_TKY040M_QNM,CC,"product:public,wcdma,gv3",uid=294#uuserlabel=#ufid=294#gid=133#guserlabel=#gfid=133,Lost of synchronization,""
Major,Equipment Alarm,3G_QSN033M_QNM(437),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:49:16,"",ME(MO SDR),U RNCId: 3352; Control voltage abnormal; Board serial number: 254399201155; U nodeBId:437,Unacknowledged,"","","","","","","",UMTS,18143,1662661135612,10.248.193.53,"","OMCB_RNC_3352Z_QNM,Subnet(MO SDR)(3352)",OMCB_RNC_3352Z_QNM,Platform Alarm,"",00:22:08,2023-07-04 04:11:24,"","","",Restoration upon Anti-shake,437,3G_QSN033M_QNM,SDR,437,3G_QSN033M_QNM,CC,"product:public,wcdma",uid=437#uuserlabel=3G_QSN033M_QNM#ufid=437#,Lost of synchronization,""
Major,Equipment Alarm,GU_PMY033M_BDH(324),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 03:49:41,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; Control voltage abnormal; Board serial number: 254437700030; U nodeBId:324,G siteId:139",Unacknowledged,"","","","","","","","UMTS,GSM",5708,1662661135614,10.248.199.140,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:22:04,2023-07-04 04:11:45,"","","",Restoration upon Anti-shake,324,GU_PMY033M_BDH,SDR,324,GU_PMY033M_BDH,CC,"product:public,wcdma,gv3",uid=324#uuserlabel=#ufid=324#gid=139#guserlabel=#gfid=139,Lost of synchronization,""
Minor,Equipment Alarm,4G-BSN008M-QNI(520060),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 03:53:34,"",ME(MO SDR),Dry contact ID: 3; Board serial number: 710553901752; L eNBId:520060,Unacknowledged,"","","","","","","",LTE FDD,212,1662661135623,10.225.173.102,"","MO SDR_OMMB1_VNPT,QNI(52000)",MO SDR_OMMB1_VNPT,Platform Alarm,"",00:14:53,2023-07-04 04:08:27,"","","",Restoration upon Anti-shake,520060,4G-BSN008M-QNI,SDR,520060,4G-BSN008M-QNI,SA,"product:public,ltefdd",fddid=520060#fdduserlabel=4G-BSN008M-QNI#fddfid=520060,Mains Failure Alarm,""
Major,Quality of Service Alarm,4G-VTH001M-BDH(420040),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",LTE cell outage(198094419),"1. The S1 link is faulty. 2. The CC board, BP board, or RRU for the cell is faulty. 3. The cell is not configured successfully. 4. The clock is unlocked. 5. Product process running on the business load sharing auxiliary CC board is abnormal.",2023-07-04 03:54:11,"",ME(MO SDR),"Cell user label: 4G-VTH001R11-BDH, Cell ID: 17,  Caused by RRU board fault; Cell type: normal cell, 70001000; Board serial number: 708740200543; L eNBId:420040",Unacknowledged,"","","","","","","",LTE FDD,1201,1662661135624,10.225.117.167,"","MO SDR_OMMB2_VNPT,BDH(42000)",MO SDR_OMMB2_VNPT,LTE FDD Alarm,"",00:14:11,2023-07-04 04:08:22,"","","",Restoration upon Anti-shake,420040,4G-VTH001M-BDH,CELL,17,4G-VTH001R11-BDH,CCC,"product:ltefdd,ltefdd",fddid=420040#fdduserlabel=4G-VTH001M-BDH#fddfid=420040,LTE cell outage,""
Minor,Equipment Alarm,3G_HNN053M_BDH(355),"Equipment=1,Rack(MO SDR)=52,Shelf(MO SDR)=1","","",FCE board not-configured alarm(198096408),"The FCE board is not configured in the network management system, but the FCE board is actually connected.",2023-07-04 04:07:59,"",ME(MO SDR),U RNCId: 3350; U nodeBId:355,Unacknowledged,"","","","","","","",UMTS,8107,1662661135665,10.248.199.38,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",00:01:10,2023-07-04 04:09:09,"","","",Normal,355,3G_HNN053M_BDH,RU,52,RRU,"","product:public,wcdma",uid=355#uuserlabel=#ufid=355#,FCE board not-configured alarm,""
