History Alarm
Perceived Severity,Alarm Type,NE,Location,Additional NE,Additional Location,Alarm Code,Specific Problem,Raised Time,Changed Time,NE Type,Remark,ACK State,(Un)ACK Time,(Un)ACK User ID,(Un)ACK System ID,Comment Time,Comment,Comment User ID,Comment System ID,Product,Alarm Aid,Alarm ID,NE IP,Link,NE Group,NE Agent,System Type,Additional Information,Duration(hh:mm:ss),Cleared Time,Clear User ID,Clear System ID,Path Name,Clear Type,Custom Attribute 1,Custom Attribute 2,Custom Attribute 3,Custom Attribute 4,Custom Attribute 5,Custom Attribute 6,Custom Attribute 7,Custom Attribute 8,Custom Attribute 9,Custom Attribute 10
Major,Processing Error Alarm,GU_TSN011M_BDH(225),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",The NE does not support the configured parameters(198097510),The configured parameters do not match with the hardware module.,2022-09-28 14:42:07,"",ME(MO SDR),"G BSCId: 350; U RNCId: 3350; ETH0 Optical port: Mismatched optical module rate; Maximum rate supported by optical module: 200M, Configured operating mode: 1000M auto-sensing optical port; Board serial number: 286038900708; U nodeBId:225,G siteId:210",Unacknowledged,"","","","","","","","UMTS,GSM",52,1662659112304,10.248.198.217,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",6689:58:35,2023-07-04 08:40:42,"","","",Normal,225,GU_TSN011M_BDH,SDR,225,GU_TSN011M_BDH,CCC,"product:public,wcdma,gv3",uid=225#uuserlabel=#ufid=225#gid=210#guserlabel=#gfid=210,The NE does not support the configured parameters,""
Minor,Equipment Alarm,UL-HUE014M-HUE(460334),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=8","","",Optical interface reception link degraded(198098320),1. Fibers or cables are damaged. 2. The surfaces of fibers or cables are dirty.  3. The optical or electrical module on the local or peer end is not fully inserted into the slot.  4. The optical or electrical module of the peer equipment is damaged.  5. The actual fiber length is longer than the maximum length supported by the optical module.  6. The peer equipment is operating abnormally.,2023-07-03 06:31:24,"",ME(MO SDR),"U RNCId: 3010; Optical port 0; Detection interval: 24hour, Jittering threshold: 8times; Board serial number: 741509500913; U nodeBId:417,L eNBId:460334,N eNBId:460334; L: Cell ID=(11,12,13,17,18,51,52,53,14)",Unacknowledged,"","","","","","","","UMTS,NB-IoT,LTE FDD",806,1662661129644,10.225.93.84,"","MO SDR_OMMB3_VNPT,HUE(46000)",MO SDR_OMMB3_VNPT,Platform Alarm,"",26:54:57,2023-07-04 09:26:21,"","","",Normal,460334,UL-HUE014M-HUE,SDR,460334,UL-HUE014M-HUE,BPQ2,"product:public,wcdma,ltefdd,NB-IoT",uid=417#uuserlabel=#ufid=417##fddid=460334#fdduserlabel=UL-HUE014M-HUE#fddfid=460334#nid=460334#nuserlabel=UL-HUE014M-HUE#nfid=460334,Optical interface reception link degraded,""
Minor,Equipment Alarm,UL-QNI038M-QNI(520128),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:01:12,"",ME(MO SDR),"U RNCId: 3003; Dry contact ID: 0; Board serial number: 710553901628; U nodeBId:189,L eNBId:520128",Unacknowledged,"","","","","","","","UMTS,LTE FDD",195,1662661136346,10.225.113.183,"","MO SDR_OMMB1_VNPT,QNI(52000)",MO SDR_OMMB1_VNPT,Platform Alarm,"",02:24:18,2023-07-04 09:25:30,"","","",Normal,520128,UL-QNI038M-QNI,SDR,520128,UL-QNI038M-QNI,SA,"product:public,wcdma,ltefdd",uid=189#uuserlabel=#ufid=189#fddid=520128#fdduserlabel=UL-QNI038M-QNI#fddfid=520128,Mains Failure Alarm,""
Critical,Equipment Alarm,4G-VLH017M-QTI(530121),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",AC may no.(198092554),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:13:50,"",ME(MO SDR),Dry contact ID: 4; Board serial number: 710553901147; L eNBId:530121,Unacknowledged,"","","","","","","",LTE FDD,780,1662661136406,10.225.85.27,"","MO SDR_OMMB2_VNPT,QTI(53000)",MO SDR_OMMB2_VNPT,Platform Alarm,"",02:12:24,2023-07-04 09:26:14,"","","",Normal,530121,4G-VLH017M-QTI,SDR,530121,4G-VLH017M-QTI,SA,"product:public,ltefdd",fddid=530121#fdduserlabel=4G-VLH017M-QTI#fddfid=530121,User-defined dry contact alarm 5,""
Minor,Equipment Alarm,UL-STH036M-QNI(520564),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=13","","",Mains Failure Alarm(198092550),1. The normally open or closed setting of the alarm related to the dry contact is not correctly set.  2. The cable is not correctly connected or is faulty. 3. The dry contact device is faulty.,2023-07-04 07:38:18,"",ME(MO SDR),"U RNCId: 3003; Dry contact ID: 0; Board serial number: 710692000029; U nodeBId:508,L eNBId:520564",Unacknowledged,"","","","","","","","UMTS,LTE FDD",4506,1662661136598,10.225.113.58,"","MO SDR_OMMB1_VNPT,QNI(52000)",MO SDR_OMMB1_VNPT,Platform Alarm,"",01:49:09,2023-07-04 09:27:27,"","","",Normal,520564,UL-STH036M-QNI,SDR,520564,UL-STH036M-QNI,SA,"product:public,wcdma,ltefdd",uid=508#uuserlabel=#ufid=508#fddid=520564#fdduserlabel=UL-STH036M-QNI#fddfid=520564,Mains Failure Alarm,""
Major,Equipment Alarm,3G_PMY057M_BDH(476),"Equipment=1,Rack(MO SDR)=1,Shelf(MO SDR)=1,Board(MO SDR)=1","","",Lost of synchronization(198092215),The board is faulty.,2023-07-04 08:19:27,"",ME(MO SDR),U RNCId: 3350; Control voltage abnormal; Board serial number: 254233600867; U nodeBId:476,Unacknowledged,"","","","","","","",UMTS,8224,1662661136811,10.248.200.210,"","OMCB_RNC_3002Z_PYN,Subnet(MO SDR)(3002)",OMCB_RNC_3002Z_PYN,Platform Alarm,"",01:05:37,2023-07-04 09:25:04,"","","",Restoration upon Anti-shake,476,3G_PMY057M_BDH,SDR,476,3G_PMY057M_BDH,CC,"product:public,wcdma",uid=476#uuserlabel=#ufid=476,Lost of synchronization,""
Major,Communications Alarm,RNC_3350Z_BDH(3350),"EQRNCID=3350,RACKNO=1,SHELFNO=3,SLOTNO=15,CPUNO=1",GU_TSN011M_BDH(225),"",Association link broken(198066019),1. The association is released in dynamic data management. 2. Association configuration is modified at local end. 3. Association is released at opposite end. 4. Bottom layer link is faulty.,2023-07-04 08:40:23,"",ME(UMTS),Association ID:325; Home module:12; Alarm reason:All paths are inactive.; User type:NBAP; Office ID:0,Unacknowledged,"","","","","","","",UMTS,71493,1662661136923,10.9.50.129,"","OMCR_RNC_3350Z_BDH,SUBNET(UMTS)(3350)",OMCR_RNC_3350Z_BDH,Controller Public Alarm(V3),"",00:43:22,2023-07-04 09:23:45,"","","",Normal,225,GU_TSN011M_BDH,Association,325,GU_TSN011M_BDH$325:NBAP:0,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3350Z_BDH#RAISETIME=2023-07-04 08:40:23,Association link broken,1. The association is released in dynamic data management. 2. Association configuration is modified at local end. 3. Association is released at opposite end. 4. Bottom layer link is faulty.
Critical,Processing Error Alarm,RNC_3350Z_BDH(3350),"EQRNCID=3350,RACKNO=1,SHELFNO=3,SLOTNO=15,CPUNO=1",GU_TSN011M_BDH(225),"",NodeB is out of service(198083023),NCP link failure,2023-07-04 08:40:33,"",ME(UMTS),NodeB ID:225; Alarm sub code:2; Iub Transport bearer type:IP V4 Bearer Type; Link Number:1; Link ID list:325,Unacknowledged,"","","","","","","",UMTS,71494,1662661136925,10.9.50.129,"","OMCR_RNC_3350Z_BDH,SUBNET(UMTS)(3350)",OMCR_RNC_3350Z_BDH,UMTS Controller Alarm(V3),"",00:43:12,2023-07-04 09:23:45,"","","",Normal,225,GU_TSN011M_BDH,NODEB,225,GU_TSN011M_BDH,RCB,"product:wcdma,wcdma",CRC=0#MO=301#OTYPE=UIubLink#NENAME=RNC_3350Z_BDH#RAISETIME=2023-07-04 08:40:33,NodeB is out of service,NCP link failure
Critical,Communications Alarm,GU_TSN011M_BDH(210),"",GU_TSN011M_BDH(225),"",Site Abis control link broken(198087337),"1. The configured site does not exist. 2. In case of an IP site, the IP-related configuration is incorrect. 3. In case of an E1 site, the Abis timeslot configuration is incorrect. 4. The Abis transmission is abnormal.",2023-07-04 08:40:43,"",BTS(GV3),Site ID:210,Unacknowledged,"","","","","","","",GSM,25547,1662661136929,"","","OMCR_BSC_350Z_DNG,BSC_350Z_DNG(350),BSC_350Z_DNG(350),BSC_350Z_DNG(350)",OMCR_BSC_350Z_DNG,GSM Controller Alarm(V3),"",00:43:02,2023-07-04 09:23:45,"","","",Normal,210,GU_TSN011M_BDH,SITE,210,GU_TSN011M_BDH,"","product:gv3,gv3",CRC=0#MO=301#OTYPE=GBtsSiteManager#NENAME=BSC_350Z_DNG#RAISETIME=2023-07-04 08:40:43,Site Abis control link broken,"1. The configured site does not exist. 2. In case of an IP site, the IP-related configuration is incorrect. 3. In case of an E1 site, the Abis timeslot configuration is incorrect. 4. The Abis trans..."
Minor,Communications Alarm,GU_TSN011M_BDH(210),"",GU_TSN011M_BDH(225),"",Cell interruption alarm(198087342),1. The link between the BSC and the site that the cell belongs to is broken. 2. The BCCH TRX of the cell is faulty. 3. The cell is manually blocked. 4. The configuration of related cell parameters is incorrect.,2023-07-04 08:41:13,"",BTS(GV3),Site ID:210; Bts ID:1; Trx ID:255; Rack ID:255; Shelf ID:255; Panel ID:255,Unacknowledged,"","","","","","","",GSM,25548,1662661136931,"","","OMCR_BSC_350Z_DNG,BSC_350Z_DNG(350),BSC_350Z_DNG(350),BSC_350Z_DNG(350)",OMCR_BSC_350Z_DNG,GSM Controller Alarm(V3),"",00:42:32,2023-07-04 09:23:45,"","","",Normal,210,GU_TSN011M_BDH,CELL,1,2G_TSN011M11_BDH,"","product:gv3,gv3",CRC=0#MO=301#OTYPE=GBtsSiteManager#NENAME=BSC_350Z_DNG#RAISETIME=2023-07-04 08:41:13#CID=1#CNAME=2G_TSN011M11_BDH,Cell interruption alarm,1. The link between the BSC and the site that the cell belongs to is broken. 2. The BCCH TRX of the cell is faulty. 3. The cell is manually blocked. 4. The configuration of related cell parameters ...
